Suburb	Council_Area
Dereel 	Golden Plains S  
Dergholm 	Glenelg S  
Dergholm 	West Wimmera S  
Derrimut 	Brimbank C  
Derrinal 	Greater Bendigo C  
Derrinallum 	Corangamite S  
Devenish 	Benalla RC  
Devils River 	Murrindindi S  
Devon Meadows 	Casey C  
Devon North 	Wellington S  
Dewhurst 	Cardinia S  
Dhurringile 	Greater Shepparton C  
Diamond Creek 	Nillumbik S  
Diamond Hill 	Greater Bendigo C  
Digby 	Glenelg S  
Diggers Rest 	Hume C  
Diggers Rest 	Melton S  
Diggora 	Campaspe S  
Dimboola 	Hindmarsh S  
Dingee 	Campaspe S  
Dingee 	Loddon S  
Dingley Village 	Kingston C  
Dingwall 	Gannawarra S  
Dinner Plain 	Alpine S  
Dixie 	Corangamite S  
Dixons Creek 	Yarra Ranges S  
Dobie 	Ararat RC  
Docker 	Wangaratta RC  
Dockers Plains 	Wangaratta RC  
Docklands 	Melbourne C  
Doctors Flat 	East Gippsland S  
Dollar 	South Gippsland S  
Don Valley 	Yarra Ranges S  
Donald 	Buloke S  
Doncaster 	Manningham C  
Doncaster East 	Manningham C  
Donnybrook 	Whittlesea C  
Donvale 	Manningham C  
Dooboobetic 	Buloke S  
Dooen 	Horsham RC  
Dookie 	Greater Shepparton C  
Dookie College 	Gr Shepparton C  
Doreen 	Nillumbik S  
Doreen 	Whittlesea C  
Dorodong 	West Wimmera S  
Double Bridges 	East Gippsland S  
Douglas 	Horsham RC  
Douglas 	West Wimmera S  
Doveton 	Casey C  
Dreeite 	Colac Otway S  
Dreeite 	Corangamite S  
Dreeite South 	Colac Otway S  
Dreeite South 	Corangamite S  
Driffield 	Baw Baw S  
Driffield 	Latrobe C  
Drik Drik 	Glenelg S  
Dromana 	Mornington Peninsula S  
Dropmore 	Murrindindi S  
Drouin 	Baw Baw S  
Drouin East 	Baw Baw S  
Drouin South 	Baw Baw S  
Drouin West 	Baw Baw S  
Drumanure 	Moira S  
Drumborg 	Glenelg S  
Drumcondra 	Greater Geelong C  
Drummartin 	Campaspe S  
Drummartin 	Greater Bendigo C  
Drummond 	Hepburn S  
Drummond 	Macedon Ranges S  
Drummond North 	Hepburn S  
Drummond North 	Macedon Ranges S  
Drummond North 	Mt Alexander S  
Drung 	Horsham RC  
Dry Diggings 	Hepburn S  
Drysdale 	Greater Geelong C  
Duchembegarra 	Horsham RC  
Dudley South 	Bass Coast S  
Dumbalk 	South Gippsland S  
Dumbalk North 	South Gippsland S  
Dumosa 	Buloke S  
Dunach 	Central Goldfields S  
Dunach 	Hepburn S  
Dundonnell 	Moyne S  
Dunearn 	Greater Dandenong C  
Dunkeld 	Ararat RC  
Dunkeld 	Southern Grampians S  
Dunkirk 	Greater Shepparton C  
Dunluce 	Central Goldfields S  
Dunneworthy 	Ararat RC  
Dunneworthy 	Nthn Grampians S  
Dunnstown 	Moorabool S  
Dunolly 	Central Goldfields S  
Dunolly 	Loddon S  
Dunrobin 	Glenelg S  
Durdidwarrah 	Golden Plains S  
Durham Lead 	Ballarat C  
Durham Lead 	Golden Plains S  
Durham Lead 	Moorabool S  
Durham Ox 	Loddon S  
Dutson 	Wellington S  
Dutson Downs 	Wellington S  
Dutton Way 	Glenelg S  
Duverney 	Corangamite S  
Dysart 	Mitchell S   
Eagle Point 	East Gippsland S  
Eaglehawk 	Greater Bendigo C  
Eaglehawk North 	Gr Bendigo C  
Eaglemont 	Banyule C  
Earlston 	Strathbogie S  
East Melbourne 	Melbourne C  
Eastern View 	Surf Coast S  
Eastville 	Loddon S  
Eastville 	Mount Alexander S  
Ebden 	Wodonga RC  
Echuca 	Campaspe S  
Echuca Village 	Campaspe S  
Echuca West 	Campaspe S  
Ecklin South 	Corangamite S  
Ecklin South 	Moyne S  
Eddington 	Central Goldfields S  
Eddington 	Loddon S  
Eddington 	Mount Alexander S  
Eden Park 	Whittlesea C  
Edenhope 	West Wimmera S  
Edgecombe 	Macedon Ranges S  
Edi 	Wangaratta RC  
Edi Upper 	Wangaratta RC  
Edithvale 	Kingston C  
Eganstown 	Hepburn S  
Eildon 	Mansfield S  
Eildon 	Murrindindi S  
Elaine 	Moorabool S  
Elberton 	Northern Grampians S  
Eldorado 	Wangaratta RC  
Elevated Plains 	Hepburn S  
Elingamite 	Corangamite S  
Elingamite North 	Corangamite S  
Ellaswood 	East Gippsland S  
Ellerslie 	Moyne S  
Elliminyt 	Colac Otway S  
Ellinbank 	Baw Baw S  
Elmhurst 	Ararat RC  
Elmhurst 	Pyrenees S  
Elmore 	Campaspe S  
Elmore 	Greater Bendigo C  
Elphinstone 	Mount Alexander S  
Elsternwick 	Glen Eira C  
Eltham 	Banyule C  
Eltham 	Nillumbik S  
Eltham North 	Banyule C  
Eltham North 	Nillumbik S  
Elwood 	Port Phillip C  
Emerald 	Cardinia S  
Emerald 	Yarra Ranges S  
Emu 	Central Goldfields S  
Emu 	Loddon S  
Emu 	Northern Grampians S  
Emu Creek 	Greater Bendigo C  
Emu Flat 	Mitchell S  
Endeavour Hills 	Casey C  
Enfield 	Golden Plains S  
Englefield 	Southern Grampians S  
Ensay 	East Gippsland S  
Ensay North 	East Gippsland S  
Eppalock 	Greater Bendigo C  
Epping 	Whittlesea C  
Epsom 	Greater Bendigo C  
Ercildoune 	Ballarat C  
Ercildoune 	Pyrenees S  
Erica 	Baw Baw S  
Erinunderra 	East Gippsland S  
Eskdale 	Towong S  
Esmond 	Moira S  
Essendon 	Moonee Valley C  
Essendon North 	Moonee Valley C  
Essendon West 	Moonee Valley C  
Eumemmerring 	Casey C  
Eurack 	Colac Otway S  
Eureka 	Ballarat C  
Euroa 	Strathbogie S  
Eurobin 	Alpine S  
Evansford 	Hepburn S  
Evansford 	Pyrenees S  
Eversley 	Ararat RC  
Eversley 	Pyrenees S  
Everton 	Wangaratta RC  
Everton Upper 	Wangaratta RC  
Exford 	Melton S  
Eynesbury 	Melton S  
Eynesbury 	Wyndham C  
Fairbank 	South Gippsland S  
Fairfield 	Darebin C  
Fairfield 	Yarra C  
Fairhaven 	Surf Coast S  
Fairley 	Gannawarra S  
Fairy Dell 	Campaspe S  
Fairy Dell 	East Gippsland S  
Falls Creek 	Alpine S  
Faraday 	Mount Alexander S  
Fawcett 	Murrindindi S  
Fawkner 	Hume C  
Fawkner 	Moreland C  
Fentons Creek 	Loddon S  
Ferguson 	Colac Otway S  
Fern Hill 	Hepburn S  
Fern Hill 	Macedon Ranges S  
Fernbank 	East Gippsland S  
Fernbank 	Wellington S  
Ferndale 	Baw Baw S  
Fernihurst 	Loddon S  
Fernshaw 	Yarra Ranges S  
Ferntree Gully 	Knox C  
Ferny Creek 	Yarra Ranges S  
Fiery Flat 	Loddon S  
Fingal 	Mornington Peninsula S  
Fish Creek 	South Gippsland S  
Fish Point 	Swan Hill RC  
Fiskville 	Moorabool S  
Fitzroy 	Yarra C  
Fitzroy North 	Moreland C  
Fitzroy North 	Yarra C  
Flaggy Creek 	East Gippsland S  
Flagstaff 	Central Goldfields S  
Flamingo Beach 	Wellington S  
Flemington 	Melbourne C  
Flemington 	Moonee Valley C  
Flinders 	Mornington Peninsula S  
Flora Hill 	Greater Bendigo C  
Flowerdale 	Mitchell S  
Flowerdale 	Murrindindi S  
Flynn 	Latrobe C  
Flynn 	Wellington S  
Flynns Creek 	Latrobe C  
Flynns Creek 	Wellington S  
Footscray 	Maribyrnong C  
Footscray West 	Maribyrnong C  
Forbes 	Mitchell S  
Forest Hill 	Whitehorse C  
Forge Creek 	East Gippsland S  
Forrest 	Colac Otway S  
Foster 	South Gippsland S  
Foster North 	South Gippsland S  
Fosterville 	Greater Bendigo C  
Fountain Gate 	Casey C  
Foxhow 	Corangamite S  
Framlingham 	Moyne S  
Framlingham East 	Moyne S  
Franklinford 	Hepburn S  
Franklinford 	Mount Alexander S  
Frankston 	Frankston C  
Frankston North 	Frankston C  
Frankston South 	Frankston C  
Freeburgh 	Alpine S  
Frenchmans 	Pyrenees S  
Freshwater Creek 	Surf Coast S  
Fryerstown 	Mount Alexander S  
Fulham 	Wellington S  
Fumina 	Baw Baw S  
Fumina South 	Baw Baw S  
Fyans Creek 	Northern Grampians S  
Fyansford 	Greater Geelong C  
Gaffneys Creek 	Mansfield S  
Gainsborough 	Baw Baw S  
Gannawarra 	Gannawarra S  
Gapsted 	Alpine S  
Garden City 	Port Phillip C  
Gardenvale 	Glen Eira C  
Garfield 	Cardinia S  
Garfield North 	Cardinia S  
Garibaldi 	Golden Plains S  
Garvoc 	Corangamite S  
Garvoc 	Moyne S  
Gateway Island 	Wodonga RC  
Gatum 	Southern Grampians S  
Gazette 	Moyne S  
Gazette 	Southern Grampians S  
Geelong 	Greater Geelong C  
Geelong East 	Greater Geelong C  
Geelong North 	Greater Geelong C  
Geelong South 	Greater Geelong C  
Geelong West 	Greater Geelong C  
Gelantipy 	East Gippsland S  
Gellibrand 	Colac Otway S  
Gellibrand Lower 	Colac Otway S  
Gellibrand Lower 	Corangamite S  
Gelliondale 	Wellington S  
Gembrook 	Cardinia S  
Genoa 	East Gippsland S  
Gentle Annie 	Baw Baw S  
Georges Creek 	Towong S  
Gerahmin 	Swan Hill RC  
Gerang Gerung 	Hindmarsh S  
Gerangamete 	Colac Otway S  
Germania 	Northern Grampians S  
Germantown 	Alpine S  
Gerrigerrup 	Moyne S  
Gherang 	Surf Coast S  
Gheringhap 	Golden Plains S  
Ghin Ghin 	Murrindindi S  
Giffard 	Wellington S  
Giffard West 	Wellington S  
Gil Gil 	Buloke S  
Gilderoy 	Yarra Ranges S  
Gillieston 	Greater Shepparton C  
Gillum 	Wellington S  
Gipsy Point 	East Gippsland S  
Girgarre 	Campaspe S  
Girgarre East 	Greater Shepparton C  
Gisborne 	Macedon Ranges S  
Gisborne South 	Macedon Ranges S  
Gladfield 	Loddon S  
Gladstone Park 	Hume C  
Gladysdale 	Yarra Ranges S  
Glen Alvie 	Bass Coast S  
Glen Creek 	Alpine S  
Glen Falloch 	Wellington S  
Glen Forbes 	Bass Coast S  
Glen Huntly 	Glen Eira C  
Glen Iris 	Boroondara C  
Glen Iris 	Stonnington C  
Glen Park 	Ballarat C  
Glen Park 	Moorabool S  
Glen Valley 	East Gippsland S  
Glen Waverely 	Monash C  
Glen Wills 	East Gippsland S  
Glenaire 	Colac Otway S  
Glenaladale 	East Gippsland S  
Glenalbyn 	Loddon S  
Glenaroua 	Mitchell S  
Glenbrae 	Pyrenees S  
Glenburn 	Murrindindi S  
Glendaruel 	Ballarat C  
Glendonnel 	Ballarat C  
Glenferrie South 	Boroondara C  
Glenfyne 	Corangamite S  
Glengara 	Brimbank C  
Glengarry 	Latrobe C  
Glengarry 	Wellington S  
Glengarry North 	Baw Baw S  
Glengarry North 	Latrobe C  
Glengarry West 	Latrobe C  
Glengower 	Central Goldfields S  
Glengower 	Hepburn S  
Glenhope 	Macedon Ranges S  
Glenhope 	Mitchell S  
Glenhope East 	Mitchell S  
Glenisla 	Northern Grampians S  
Glenisla 	Southern Grampians S  
Glenlee 	Hindmarsh S  
Glenlofty 	Pyrenees S  
Glenlogie 	Ararat RC  
Glenlogie 	Pyrenees S  
Glenloth 	Buloke S  
Glenloth East 	Buloke S  
Glenloth East 	Loddon S  
Glenluce 	Mount Alexander S  
Glenlyon 	Hepburn S  
Glenmaggie 	Wellington S  
Glenmore 	Moorabool S  
Glenorchy 	Northern Grampians S  
Glenormiston North 	Corangamite S  
Glenormiston North 	Moyne S  
Glenormiston South 	Corangamite S  
Glenpatrick 	Pyrenees S  
Glenrowan 	Benalla RC  
Glenrowan 	Wangaratta RC  
Glenrowan West 	Benalla RC  
Glenroy 	Moreland C  
Glenthompson 	Ararat RC  
Glenthompson 	Sthn Grampians S  
Glomar Beach 	Wellington S  
Gnarwarre 	Surf Coast S  
Gnotuk 	Corangamite S  
Gobur 	Murrindindi S  
Golden Beach 	Wellington S  
Golden Gully 	Greater Bendigo C  
Golden Point 	Ballarat C  
Golden Point 	Central Goldfields S  
Golden Point 	Mount Alexander S  
Golden Square 	Greater Bendigo C  
Goldie 	Macedon Ranges S  
Goldsborough 	Central Goldfields S  
Goldsborough 	Loddon S  
Gong Gong 	Ballarat C  
Gonn Crossing 	Gannawarra S  
Goomalibee 	Benalla RC  
Goon Nure 	East Gippsland S  
Goongerah 	East Gippsland S  
Gooram 	Murrindindi S  
Gooram 	Strathbogie S  
Gooramadda 	Indigo S  
Goorambat 	Benalla RC  
Goornong 	Greater Bendigo C  
Gooroc 	Northern Grampians S  
Gorae 	Glenelg S  
Gorae West 	Glenelg S  
Gordon 	Moorabool S  
Gormandale 	Wellington S  
Goroke 	West Wimmera S  
Goschen 	Swan Hill RC  
Goughs Bay 	Mansfield S  
Goulburn Weir 	Strathbogie S  
Gowanbrae 	Moreland C  
Gowanford 	Swan Hill RC  
Gowangardie 	Gr Shepparton C  
Gowar East 	Loddon S  
Gowar East 	Northern Grampians S  
Gower 	Mount Alexander S  
Grahamvale 	Greater Shepparton C  
Grampians 	Southern Grampians S  
Grand Ridge 	Latrobe C  
Grand Ridge 	Wellington S  
Granite Flat 	Buloke S  
Granite Rock 	East Gippsland S  
Grantville 	Bass Coast S  
Granya 	Towong S  
Grass Flat 	Horsham RC  
Grass Flat 	West Wimmera S  
Grassdale 	Glenelg S  
Grassmere 	Moyne S  
Grays Bridge 	Northern Grampians S  
Graytown 	Strathbogie S  
Gre Gre 	Northern Grampians S  
Gre Gre North 	Nthn Grampians S  
Gre Gre South 	Nthn Grampians S  
Great Northern 	Indigo S  
Great Western 	Ararat RC  
Great Western 	Nthn Grampians S  
Gredgwin 	Gannawarra S  
Gredgwin 	Loddon S  
Green Gully 	Mount Alexander S  
Green Lake 	Horsham RC  
Greendale 	Moorabool S  
Greenhill 	Macedon Ranges S  
Greenhill 	Mount Alexander S  
Greenland Dam 	Horsham RC  
Greenmount 	Wellington S  
Greens Creek 	Nthn Grampians S  
Greensborough 	Banyule C  
Greensborough 	Nillumbik S  
Greenvale 	Hume C  
Greenwald 	Glenelg S  
Grenville 	Golden Plains S  
Grenville 	Moorabool S  
Greta 	Wangaratta RC  
Greta South 	Wangaratta RC  
Greta West 	Benalla RC  
Greta West 	Wangaratta RC  
Grey River 	Colac Otway S  
Greythorn 	Boroondara C  
Gringegalgona 	Sthn Grampians S  
Gritjurk 	Southern Grampians S  
Grovedale 	Greater Geelong C  
Gruyere 	Yarra Ranges S  
Guildford 	Hepburn S  
Guildford 	Mount Alexander S  
Gunbower 	Campaspe S  
Gundowring 	Alpine S  
Gundowring 	Indigo S  
Gunyah 	South Gippsland S  
Guys Forest 	Towong S  
Guys Hill 	Cardinia S  
Gymbowen 	West Wimmera S  
Haddon 	Golden Plains S  
Hadfield 	Moreland C  
Hallam 	Casey C  
Hallora 	Baw Baw S  
Halls Gap 	Ararat RC  
Halls Gap 	Northern Grampians S  
Hallston 	Baw Baw S  
Hallston 	South Gippsland S  
Hamilton 	Southern Grampians S  
Hamlyn Heights 	Greater Geelong C  
Hampton 	Bayside C  
Hampton East 	Bayside C  
Hampton Park 	Casey C  
Hanging Rock 	Macedon Ranges S  
Hansonville 	Wangaratta RC  
Happy Valley 	Golden Plains S  
Happy Valley 	Swan Hill RC  
Harcourt 	Mount Alexander S  
Harcourt North 	Greater Bendigo C  
Harcourt North 	Mount Alexander S  
Harkaway 	Casey C  
Harmers Haven 	Bass Coast S  
Harrietville 	Alpine S  
Harrow 	Southern Grampians S  
Harrow 	West Wimmera S  
Harston 	Campaspe S  
Harston 	Greater Shepparton C  
Hartwell 	Boroondara C  
Hastings 	Mornington Peninsula S  
Hattah 	Mildura RC  
Havelock 	Central Goldfields S  
Haven 	Horsham RC  
Havilah 	Alpine S  
Hawkesdale 	Moyne S  
Hawkhurst 	Wellington S  
Hawksburn 	Stonnington C  
Hawthorn 	Boroondara C  
Hawthorn East 	Boroondara C  
Haydens Bog 	East Gippsland S  
Hazel Park 	South Gippsland S  
Hazeldene 	Murrindindi S  
Hazelwood 	Latrobe C  
Hazelwood North 	Latrobe C  
Hazelwood South 	Latrobe C  
Healesville 	Yarra Ranges S  
Heath Hill 	Baw Baw S  
Heath Hill 	Cardinia S  
Heathcote 	Greater Bendigo C  
Heathcote Junction 	Mitchell S  
Heathcote South 	Mitchell S  
Heatherton 	Kingston C  
Heathmere 	Glenelg S  
Heathmont 	Maroondah C  
Hedley 	South Gippsland S  
Hedley 	Wellington S  
Heidelberg 	Banyule C  
Heidelberg Heights 	Banyule C  
Heidelberg West 	Banyule C  
Hensley Park 	Sthn Grampians S  
Henty 	Glenelg S  
Hepburn 	Hepburn S  
Hepburn Springs 	Hepburn S  
Herne Hill 	Greater Geelong C  
Hernes Oak 	Baw Baw S  
Hernes Oak 	Latrobe C  
Hesket 	Macedon Ranges S  
Hesse 	Golden Plains S  
Hexham 	Moyne S  
Heyfield 	Wellington S  
Heytesbury Lower 	Corangamite S  
Heytesbury Lower 	Moyne S  
Heywood 	Glenelg S  
Hiamdale 	Wellington S  
Hiawatha 	Wellington S  
High Camp 	Mitchell S  
Highett 	Bayside C  
Highett 	Kingston C  
Highlands 	Mitchell S  
Highlands 	Murrindindi S  
Highton 	Greater Geelong C  
Hilgay 	Southern Grampians S  
Hill End 	Baw Baw S  
Hillcrest 	Pyrenees S  
Hilldene 	Mitchell S  
Hillside 	Brimbank C  
Hillside 	East Gippsland S  
Hillside 	Melton S  
Hinnomunjie 	East Gippsland S  
HMAS Cerberus 	Mornington Pen S  
Hoddle 	South Gippsland S  
Hoddles Creek 	Yarra Ranges S  
Hollands Landing 	East Gippsland S  
Hollands Landing 	Wellington S  
Holmesglen 	Stonnington C  
Homebush 	Pyrenees S  
Homerton 	Glenelg S  
Homewood 	Murrindindi S  
Hopetoun 	Yarriambiack S  
Hopetoun Gardens 	Glen Eira C  
Hopetoun Park 	Moorabool S  
Hopevale 	Yarriambiack S  
Hoppers Crossing 	Wyndham C  
Horden Vale 	Colac Otway S  
Horfield 	Gannawarra S  
Horfield 	Loddon S  
Horsham 	Horsham RC  
Hotham Heights 	Alpine S  
Hotham Hill 	Melbourne C  
Hotspur 	Glenelg S  
Houston 	Whitehorse C  
Howes Creek 	Mansfield S  
Howitt Plains 	Mansfield S  
Howitt Plains 	Wellington S  
Howqua 	Mansfield S  
Howqua Hills 	Mansfield S  
Howqua Inlet 	Mansfield S  
Howqua Plains 	Mansfield S  
Hughesdale 	Monash C  
Hume Weir 	Wodonga RC  
Humevale 	Whittlesea C  
Hunter 	Greater Bendigo C  
Hunterston 	Wellington S  
Huntingdale 	Monash C  
Huntly 	Greater Bendigo C  
Huntly North 	Greater Bendigo C  
Huon 	Indigo S  
Huon 	Towong S  
Huon Creek 	Wodonga RC  
Hurstbridge 	Nillumbik S  
Icy Creek 	Baw Baw S  
Iguana Creek 	East Gippsland S  
Illabarook 	Golden Plains S  
Illawarra 	Northern Grampians S  
Illowa 	Moyne S  
Illowa 	Warrnambool C  
Indented Head 	Greater Geelong C  
Indigo 	Indigo S  
Indigo Valley 	Indigo S  
Inglewood 	Loddon S  
Ingliston 	Moorabool S  
Inkerman 	Central Goldfields S  
Inkerman 	Loddon S  
Invergordon 	Moira S  
Invergordon South 	Gr Shepparton C  
Inverleigh 	Golden Plains S  
Inverleigh 	Surf Coast S  
Inverloch 	Bass Coast S  
Inverloch 	South Gippsland S  
Invermay 	Ballarat C  
Invermay 	Hepburn S  
Invermay Park 	Ballarat C  
Iona 	Cardinia S  
Iraak 	Mildura RC  
Irishtown 	Mount Alexander S  
Ironbark 	Greater Bendigo C  
Irrewarra 	Colac Otway S  
Irrewillipe 	Colac Otway S  
Irrewillipe West 	Colac Otway S  
Irymple 	Mildura RC  
Ivanhoe 	Banyule C  
Ivanhoe East 	Banyule C  
Jacana 	Hume C  
Jack River 	Wellington S  
Jackass Flat 	Greater Bendigo C  
Jacob Creek 	Baw Baw S  
Jam Jerrup 	Bass Coast S  
Jamieson 	Mansfield S  
Jan Juc 	Surf Coast S  
Jancourt 	Corangamite S  
Jancourt East 	Colac Otway S  
Jancourt East 	Corangamite S  
Jarklin 	Loddon S  
Jarrahmond 	East Gippsland S  
Jarvis Creek 	Towong S  
Jeeralang 	Latrobe C  
Jeeralang Junction 	Latrobe C  
Jeetho 	South Gippsland S  
Jeffcott 	Buloke S  
Jeffcott North 	Buloke S  
Jeparit 	Hindmarsh S  
Jericho 	Baw Baw S  
Jeruk 	Buloke S  
Jil Jil 	Buloke S  
Jilpanger 	Horsham RC  
Jindivick 	Baw Baw S  
Joel Joel 	Northern Grampians S  
Joel South 	Northern Grampians S  
Johanna 	Colac Otway S  
Johnsonville 	East Gippsland S  
Johnstones Hill 	Wellington S  
Joyces Creek 	Central Goldfields S  
Joyces Creek 	Mount Alexander S  
Jumbuk 	Latrobe C  
Jumbunna 	South Gippsland S  
Junction Village 	Casey C  
Jung 	Horsham RC  
Jung 	Yarriambiack S  
Jungaburra 	Loddon S  
Junortoun 	Greater Bendigo C  
Kaarimba 	Moira S  
Kadnook 	West Wimmera S  
Kalimna 	East Gippsland S  
Kalimna West 	East Gippsland S  
Kalkallo 	Hume C  
Kalkee 	Horsham RC  
Kallista 	Yarra Ranges S  
Kalorama 	Yarra Ranges S  
Kalpienung 	Buloke S  
Kamarooka 	Greater Bendigo C  
Kamarooka 	Loddon S  
Kamarooka North 	Loddon S  
Kanagulk 	Horsham RC  
Kancoona 	Alpine S  
Kangaroo Flat 	Greater Bendigo C  
Kangaroo Ground 	Nillumbik S  
Kangaroo Lake 	Gannawarra S  
Kaniva 	Hindmarsh S  
Kaniva 	West Wimmera S  
Kanumbra 	Mansfield S  
Kanumbra 	Murrindindi S  
Kanya 	Northern Grampians S  
Kanyapella 	Campaspe S  
Karabeal 	Southern Grampians S  
Kardella 	South Gippsland S  
Kardella South 	South Gippsland S  
Kariah 	Corangamite S  
Karingal 	Frankston C  
Karnak 	West Wimmera S  
Karramomus 	Greater Shepparton C  
Karyrie 	Buloke S  
Katamatite 	Moira S  
Katamatite East 	Moira S  
Katandra 	Greater Shepparton C  
Katandra West 	Gr Shepparton C  
Katunga 	Moira S  
Kawarren 	Colac Otway S  
Kealba 	Brimbank C  
Keely 	Gannawarra S  
Keilor 	Brimbank C  
Keilor 	Hume C  
Keilor Downs 	Brimbank C  
Keilor East 	Brimbank C  
Keilor East 	Moonee Valley C  
Keilor Lodge 	Brimbank C  
Keilor North 	Brimbank C  
Keilor Park 	Brimbank C  
Kellalac 	Yarriambiack S  
Kelvin View 	Strathbogie S  
Kenley 	Swan Hill RC  
Kenmare 	Hindmarsh S  
Kennedys Creek 	Colac Otway S  
Kennedys Creek 	Corangamite S  
Kennett River 	Colac Otway S  
Kennington 	Greater Bendigo C  
Kensington 	Melbourne C  
Kensington 	Moonee Valley C  
Keon Park 	Darebin C  
Kerang 	Gannawarra S  
Kerang East 	Gannawarra S  
Kergunyah 	Indigo S  
Kergunyah South 	Alpine S  
Kernot 	Bass Coast S  
Kerrie 	Macedon Ranges S  
Kerrimuir 	Whitehorse C  
Kerrisdale 	Murrindindi S  
Kevington 	Mansfield S  
Kew 	Boroondara C  
Kew East 	Boroondara C  
Kewell 	Horsham RC  
Kewell 	Yarriambiack S  
Keysborough 	Greater Dandenong C  
Kialla 	Greater Shepparton C  
Kialla East 	Greater Shepparton C  
Kialla West 	Greater Shepparton C  
Kiata 	Hindmarsh S  
Kiewa 	Indigo S  
Kilcunda 	Bass Coast S  
Killara 	Glenelg S  
Killara 	Wodonga RC  
Killarney 	Moyne S  
Killawarra 	Wangaratta RC  
Killingworth 	Murrindindi S  
Kilmany 	Wellington S  
Kilmore 	Mitchell S  
Kilmore East 	Mitchell S  
Kilsyth 	Maroondah C  
Kilsyth 	Yarra Ranges S  
Kilsyth South 	Maroondah C  
Kimbolton 	Greater Bendigo C  
King Valley 	Wangaratta RC  
Kinglake 	Murrindindi S  
Kinglake 	Nillumbik S  
Kinglake Central 	Murrindindi S  
Kinglake Central 	Nillumbik S  
Kinglake West 	Murrindindi S  
Kinglake West 	Nillumbik S  
Kinglake West 	Whittlesea C  
Kingower 	Loddon S  
Kings Park 	Brimbank C  
Kingsbury 	Darebin C  
Kingston 	Hepburn S  
Kingsville 	Maribyrnong C  
Kingsville South 	Hobsons Bay C  
Kinnabulla 	Buloke S  
Kinypanial 	Loddon S  
Kirkstall 	Moyne S  
Kirwins Bridge 	Strathbogie S  
Kithbrook 	Strathbogie S  
Knebsworth 	Moyne S  
Knowsley 	Greater Bendigo C  
Knoxfield 	Knox C  
Koallah 	Corangamite S  
Kobyboyn 	Mitchell S  
Koetong 	Towong S  
Kolora 	Corangamite S  
Kolora 	Moyne S  
Kongwak 	Bass Coast S  
Kongwak 	South Gippsland S  
Konongwootong 	Sthn Grampians S  
Koo Wee Rup 	Cardinia S  
Koo Wee Rup North 	Cardinia S  
Kooloonong 	Swan Hill RC  
Koonda 	Strathbogie S  
Koondrook 	Gannawarra S  
Koonoomoo 	Moira S  
Koonwarra 	South Gippsland S  
Kooreh 	Northern Grampians S  
Koorlong 	Mildura RC  
Koornalla 	Latrobe C  
Kooroocheang 	Hepburn S  
Koorool 	Wellington S  
Koorooman 	South Gippsland S  
Kooyong 	Stonnington C  
Koriella 	Murrindindi S  
Korobeit 	Moorabool S  
Koroit 	Moyne S  
Korong Vale 	Loddon S  
Koroop 	Gannawarra S  
Korumburra 	South Gippsland S  
Korumburra South 	Sth Gippsland S  
Korweinguboora 	Hepburn S  
Korweinguboora 	Moorabool S  
Kotta 	Campaspe S  
Kotupna 	Moira S  
Kow Swamp 	Campaspe S  
Koyuga 	Campaspe S  
Krowera 	Bass Coast S  
Krowera 	South Gippsland S  
Kulwin 	Mildura RC  
Kunat 	Swan Hill RC  
Kunyung 	Mornington Peninsula S  
Kurraca 	Loddon S  
Kurraca West 	Loddon S  
Kurting 	Loddon S  
Kurunjang 	Melton S  
Ky Valley 	Campaspe S  
Ky West 	Campaspe S  
Kyabram 	Campaspe S  
Kyabram 	Greater Shepparton C  
Kyabram South 	Gr Shepparton C  
Kyneton 	Macedon Ranges S  
Kyneton South 	Macedon Ranges S  
Laanecoorie 	Loddon S  
Laang 	Moyne S  
Labertouche 	Baw Baw S  
Laburnum 	Whitehorse C  
Laceby 	Wangaratta RC  
Ladys Pass 	Greater Bendigo C  
Laen 	Buloke S  
Laen 	Northern Grampians S  
Laen 	Yarriambiack S  
Laen East 	Buloke S  
Laen North 	Buloke S  
Lah 	Yarriambiack S  
Laharum 	Horsham RC  
Laharum 	Northern Grampians S  
Lake Boga 	Swan Hill RC  
Lake Bolac 	Ararat RC  
Lake Buloke 	Buloke S  
Lake Bunga 	East Gippsland S  
Lake Charm 	Gannawarra S  
Lake Condah 	Glenelg S  
Lake Condah 	Moyne S  
Lake Cooper 	Campaspe S  
Lake Eildon 	Mansfield S  
Lake Fyans 	Northern Grampians S  
Lake Gardens 	Ballarat C  
Lake Goldsmith 	Pyrenees S  
Lake Hindmarsh 	Hindmarsh S  
Lake Lonsdale 	Nthn Grampians S  
Lake Marmal 	Loddon S  
Lake Marmel 	Buloke S  
Lake Meran 	Gannawarra S  
Lake Meran 	Loddon S  
Lake Mokoan 	Benalla RC  
Lake Mundi 	Glenelg S  
Lake Powell 	Swan Hill RC  
Lake Rowan 	Moira S  
Lake Tyers 	East Gippsland S  
Lake Tyers Beach 	East Gippsland S  
Lake Tyrrell 	Buloke S  
Lake Wellington 	Wellington S  
Lake Wendouree 	Ballarat C  
Lake Wongan 	Pyrenees S  
Lakes Entrance 	East Gippsland S  
Lal Lal 	Moorabool S  
Lalbert 	Gannawarra S  
Lalor 	Whittlesea C  
Lamplough 	Pyrenees S  
Lancaster 	Campaspe S  
Lancaster 	Greater Shepparton C  
