Suburb	Council_Area
Baynton 	Macedon Ranges S  
Baynton East 	Macedon Ranges S  
Bayswater 	Knox C  
Bayswater North 	Maroondah C  
Beaconsfield 	Cardinia S  
Beaconsfield 	Casey C  
Beaconsfield Upper 	Cardinia S  
Bealiba 	Central Goldfields S  
Bealiba 	Loddon S  
Bearii 	Moira S  
Bears Lagoon 	Loddon S  
Beauchamp 	Gannawarra S  
Beauchamp 	Swan Hill RC  
Beaufort 	Pyrenees S  
Beaumaris 	Bayside C  
Beazleys Bridge 	Nthn Grampians S  
Beeac 	Colac Otway S  
Beech Forest 	Colac Otway S  
Beechworth 	Indigo S  
Beenak 	Yarra Ranges S  
Belgrave 	Yarra Ranges S  
Belgrave Heights 	Yarra Ranges S  
Belgrave South 	Yarra Ranges S  
Bell Park 	Greater Geelong C  
Bell Post Hill 	Greater Geelong C  
Bellarine 	Greater Geelong C  
Bellbird Creek 	East Gippsland S  
Bellbrae 	Surf Coast S  
Bellbridge 	Towong S  
Bellellen 	Northern Grampians S  
Bellfield 	Banyule C  
Bellfield 	Northern Grampians S  
Bellfield 	Southern Grampians S  
Bells Beach 	Surf Coast S  
Belmont 	Greater Geelong C  
Bemm River 	East Gippsland S  
Bena 	South Gippsland S  
Benalla 	Benalla RC  
Benambra 	East Gippsland S  
Benayeo 	West Wimmera S  
Bend of Islands 	Nillumbik S  
Bendigo 	Greater Bendigo C  
Bendigo East 	Greater Bendigo C  
Bendigo North 	Greater Bendigo C  
Bendigo West 	Greater Bendigo C  
Bendoc 	East Gippsland S  
Bengworden 	East Gippsland S  
Benjeroop 	Gannawarra S  
Benloch 	Macedon Ranges S  
Bennettswood 	Whitehorse C  
Bennison 	South Gippsland S  
Bentleigh 	Glen Eira C  
Bentleigh East 	Glen Eira C  
Benwerrin 	Surf Coast S  
Beremboke 	Moorabool S  
Berrimal 	Loddon S  
Berringa 	Golden Plains S  
Berringama 	Towong S  
Berriwillock 	Buloke S  
Berrybank 	Corangamite S  
Berrybank 	Golden Plains S  
Berrys Creek 	South Gippsland S  
Berwick 	Casey C  
Bessiebelle 	Glenelg S  
Bessiebelle 	Moyne S  
Bet Bet 	Central Goldfields S  
Bete Bolong 	East Gippsland S  
Bete Bolong North 	East Gippsland S  
Bethanga 	Towong S  
Betley 	Central Goldfields S  
Beulah 	Yarriambiack S  
Beverford 	Swan Hill RC  
Beveridge 	Mitchell S  
Beveridge 	Whittlesea C  
Big Desert (-)	Hindmarsh S  
Big Desert (-)	Mildura RC  
Big Desert (-)	West Wimmera S  
Big Hill 	Greater Bendigo C  
Big Hill 	Surf Coast S  
Big Pats Creek 	Yarra Ranges S  
Biggara 	Towong S  
Billabong 	Wellington S  
Bimbourie 	Buloke S  
Bindi 	East Gippsland S  
Binginwarri 	South Gippsland S  
Binginwarri 	Wellington S  
Bingo Munji 	East Gippsland S  
Birchip 	Buloke S  
Birchip West 	Buloke S  
Birdwoodton 	Mildura RC  
Birregurra 	Colac Otway S  
Birregurra 	Surf Coast S  
Bittern 	Mornington Peninsula S  
Black Hill 	Ballarat C  
Black Range (-)	Ararat RC  
Black Range (-)	Northern Grampians S  
Black Rock 	Bayside C  
Blackburn 	Whitehorse C  
